epoch,time,train/ce_loss,train/dice_loss,train/aux_loss,metrics/mIoU,metrics/pixel_acc,val/ce_loss,val/dice_loss,val/aux_loss,lr/pg0,lr/pg1,lr/pg2
1,124.141,0.54241,0.40065,0.24836,0.3609,0.77916,0.69002,0.56312,0,0.000326241,0.000326241,0.0677021
2,243.598,0.31227,0.23973,0.12163,0.55977,0.89411,0.28246,0.35695,0,0.000640918,0.000640918,0.0346835
3,363.047,0.29373,0.21867,0.11275,0.60745,0.88061,0.31761,0.3111,0,0.000936738,0.000936738,0.00164596
4,482.078,0.26775,0.20459,0.10415,0.64437,0.8983,0.26517,0.27908,0,0.000915143,0.000915143,0.000915143
5,601.781,0.26129,0.19237,0.09979,0.61571,0.89014,0.34176,0.29848,0,0.000886857,0.000886857,0.000886857
6,721.438,0.24536,0.17479,0.09411,0.61159,0.88086,0.31908,0.29871,0,0.000858571,0.000858571,0.000858571
7,840.828,0.22667,0.16494,0.08799,0.61707,0.88372,0.32066,0.28955,0,0.000830286,0.000830286,0.000830286
8,960.206,0.2136,0.15106,0.08268,0.64645,0.91866,0.23832,0.2746,0,0.000802,0.000802,0.000802
9,1079.77,0.21414,0.14601,0.08173,0.65749,0.91966,0.26508,0.2719,0,0.000773714,0.000773714,0.000773714
10,1199.5,0.19332,0.13578,0.07455,0.66478,0.90998,0.23528,0.26276,0,0.000745429,0.000745429,0.000745429
11,1318.82,0.19708,0.13494,0.07532,0.67265,0.91339,0.28418,0.24523,0,0.000717143,0.000717143,0.000717143
12,1438.53,0.17496,0.11846,0.06789,0.62276,0.91833,0.27413,0.30088,0,0.000688857,0.000688857,0.000688857
13,1557.71,0.17098,0.11244,0.06613,0.64841,0.92,0.26372,0.28167,0,0.000660571,0.000660571,0.000660571
14,1677.25,0.1678,0.11455,0.0647,0.67205,0.909,0.26678,0.25729,0,0.000632286,0.000632286,0.000632286
15,1796.6,0.16528,0.11018,0.0635,0.63088,0.91153,0.2834,0.2825,0,0.000604,0.000604,0.000604
16,1915.62,0.15118,0.10057,0.0587,0.66689,0.91561,0.27183,0.24749,0,0.000575714,0.000575714,0.000575714
